transcription_unit_name operon_name promoter_name
imp lptD-surA-pdxA-rsmA-apaGH impp1
imp lptD-surA-pdxA-rsmA-apaGH impp2
imp-surA-pdxA lptD-surA-pdxA-rsmA-apaGH impp3
iclR iclR iclRp
nagE nagE nagEp
puuP puuA-ymjE-puuP puuPp
glrK glrK glrKp
norVW norVW norVp
seqA-pgm seqA-pgm seqAp
garD garD garDp
gudPXD gudPXD gudPp
mngAB mngAB mngAp
rpiB rpiB rpiBp
cdaR cdaR cdaRp
alsRBACE alsRBACE alsRp2
alsRBACE alsRBACE alsRp1
gntR gntRKU gntRp2
gntR gntRKU gntRp3
gntR gntRKU gntRp4
galETKM galETKM galEp3
dcuB-fumB dcuB-fumB dcuBp2
znuCB znuCB znuCp
zntA zntA zntAp
nfsB nfsB nfsBp
idnK idnK idnKp
idnDOTR idnDOTR idnDp
lacZYA lacZYA lacZp3
lacZYA lacZYA lacZp2
lacZYA lacZYA lacZp4
csrB csrB csrBp
nrdDG nrdDG nrdDp
bglGFB bglGFB bglGp
bglG bglGFB bglGp
csrC csrC csrCp
gabDTP glaH-lhgD-gabDTP gabDp2
gadE gadEF-mdtEF gadEp1
hdeD hdeD hdeDp
idnR idnDOTR idnRp
gntT gntT gntTp3
gntT gntT gntTp2
gntP gntP gntPp
gntXY yhgH-nfuA gntXp
ibpB ibpAB ibpBp
groSL groSL groSp
uxaCA uxaCA uxaCp
uxuR uxuR uxuRp
metA metA metAp2
uidABC uidABC uidAp
uidR uidR uidRp
fusA-tufA rpsLG-fusA-tufA fusAp
ulaABCDEF ulaABCDEF ulaAp
ulaG ulaG ulaGp
usg-truA-dedA pdxB-usg-truA-dedA usgp
rsmA-apaGH lptD-surA-pdxA-rsmA-apaGH rsmAp
pdxA-rsmA-apaGH lptD-surA-pdxA-rsmA-apaGH pdxAp
pdxA-rsmA lptD-surA-pdxA-rsmA-apaGH pdxAp
apaGH lptD-surA-pdxA-rsmA-apaGH apaGp
ccmABCDEFGH napFDAGHBC-ccmABCDEFGH ccmAp
fadIJ fadIJ fadIp
osmF-yehYXW osmF-yehYXW osmFp
malZ malZ malZp
aes aes aesp
argG argG argGp
yicR-rpmBG-mutM yicR-rpmBG-mutM yicRp
yicR-rpmBG yicR-rpmBG-mutM yicRp
mutM yicR-rpmBG-mutM mutMp
mutY-yggX-mltC-nupG mutY-yggX-mltC-nupG mutYp1
mutY-yggX mutY-yggX-mltC-nupG mutYp1
mutY-yggX-mltC mutY-yggX-mltC-nupG mutYp1
mutY-yggX-mltC-nupG mutY-yggX-mltC-nupG mutYp2
mutY-yggX mutY-yggX-mltC-nupG mutYp2
mutY-yggX-mltC mutY-yggX-mltC-nupG mutYp2
yggX-mltC-nupG mutY-yggX-mltC-nupG yggXp
yggX mutY-yggX-mltC-nupG yggXp
yggX-mltC mutY-yggX-mltC-nupG yggXp
ubiCA ubiCA ubiCp
gadEF-mdtEF gadEF-mdtEF gadEp
pspG pspG pspGp
gadY gadY gadYp
gcvB gcvB gcvBp
dinG-ybiB dinG-ybiB dinGp
kbaZ-agaVWA kbaZ-agaVWA kbaZp
agaR agaR agaRp
agaSYBCDI agaS-kbaY-agaBCDI agaSp
hisLGDCBHAFI hisLGDCBHAFI hisLp
hisL hisLGDCBHAFI hisLp
cstA cstA cstAp3
cstA cstA cstAp2
cstA cstA cstAp1
nanCMS nanCp
nanCMS nanCMS nanCp
talA-tktB talA-tktB talAp1
cspI cspI cspIp
hcp-hcr hcp-hcr-poxB-ltaE-ybjT hcpp
hcp-hcr-poxB hcp-hcr-poxB-ltaE-ybjT hcpp
alkA alkA alkAp
araBAD araBAD araBp
argE argE argEp1
argR argR argRp1
carAB carAB carAp2
cirA cirA cirAp2
cirA cirA cirAp1
cyaA cyaA cyaAp
deoCABD deoCABD deoCp1
deoCABD deoCABD deoCp2
dmsABC dmsABC dmsAp1
dusB-fis dusB-fis dusBp
fnr fnr fnrp
frdABCD frdABCD frdAp
galS galS galSp
galETKM galETKM galEp1
galE galETKM galEp1
galET galETKM galEp1
galETK galETKM galEp1
galETKM galETKM galEp2
