transcription_unit_name operon_name promoter_name
asnU asnU asnUp
asnV asnV asnVp
proL proL proLp
argW argW argWp
valUXY-lysV valUXY-lysV valUp
metZWV metZWV metZp
pheV pheV pheVp
ileX ileX ileXp
argX-hisR-leuT-proM argX-hisR-leuT-proM argXp
thrU-tyrU-glyT-thrT-tufB thrU-tyrU-glyT-thrT-tufB thrUp
glyVXY glyVXY glyVp
leuX leuX leuXp
metT-leuW-glnUW-metU-glnVX metT-leuW-glnUW-metU-glnVX metTp
serW infA-serW serWp2
serT serT serTp
serX serX serXp
tyrTV-tpr tyrTV-tpr tyrTp
glyW-cysT-leuZ glyW-cysT-leuZ-3'ETSleuZ	glyWp
serU serU serUp
alaWX alaWX alaWp
serV-argVYZQ serV-argVYZQ serVp
glyU glyU glyUp
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp metYp2
metY metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp metYp2
leuU secG-leuU leuUp
proK proK proKp
pheU pheU pheUp
leuQPV leuQPV leuQp
cdd cdd cddp
uxuAB uxuAB uxuAp
yeiL yeiL yeiLp
rihB rihB rihBp
clsA-yciU clsAp
phoH phoH phoHp2
yajC-secDF tgt-yajC-secDF yajCp
putP putP putPp1
tgt-yajC tgt-yajC-secDF tgtp
rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS rpep
pntAB pntAB pntAp
napFDAGHBC-ccmABCDEFGH napFDAGHBC-ccmABCDEFGH napFp1
xapR xapR xapRp1
xapR xapR xapRp2
fliLMNOPQR fliLMNOPQR fliLp1
fliLMNOPQR fliLMNOPQR fliLp2
glcDEFGBA glcDEFGBA glcDp
glcC glcC glcCp
torR torR torRp
ssuEADCB ssuEADCB ssuEp
mgtA mgtLA mgtAp1
mgrB mgrB mgrBp
copA copA copAp
aroKB-damX-dam-rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS aroKp1
aroKB-damX-dam-rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS aroKp2
damX-dam-rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS damXp
dam-rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS damp1
dam-rpe-gph-trpS aroKB-damX-dam-rpe-gph-trpS damp2
lysC lysC lysCp2
lysC lysC lysCp1
pgi pgi pgip
ribA ribA ribAp1
chbBCARFG chbBCARFG chbBp
surA-pdxA-rsmA-apaGH lptD-surA-pdxA-rsmA-apaGH surAp
ribA ribA ribAp2
arcA arcA arcAp1
arcA arcA arcAp2
hybOABCDEFG hybOABCDEFG hybOp1
arcA arcA arcAp3
arcA arcA arcAp4
arcA arcA arcAp6
arcA arcA arcAp7
putA putA putAp
ompR-envZ ompR-envZ ompRp1
ompR-envZ ompR-envZ ompRp3
ompR-envZ ompR-envZ ompRp4
lldPRD lldPRD lldPp
fimAICDFGH fimAICDFGH fimAp
fimE fimE fimEp
acnA ymiC-acnA acnAp1
acnA ymiC-acnA acnAp2
acnB acnB acnBp
msrA msrA msrAp
aldA aldA aldAp
bcp bcp bcpp
cbl cbl cblp
csiE csiE csiEp
gcvR gcvR gcvRp
gltX gltX gltXp1
gltX gltX gltXp2
gltX gltX gltXp3
pqiABC pqiABC pqiAp1
rtcBA rtcBA rtcBp
tpx tpx tpxp
hemN hemN hemNp
arsRBC arsRBC arsRp
caiF caiF caiFp
fixABCX fixABCX fixAp
lysP lysP lysPp
smtA-mukFEB cmoM-mukFEB cmoMp
mobAB mobAB mobAp1
mobAB mobAB mobAp2
rpoE-rseABC rseD-rpoE-rseABC rpoEp1a
ychQA-kdsA ychQA-kdsA ychQp
kdsA ychQA-kdsA kdsAp
paaZ paaZ paaZp
rpmBG-mutM yicR-rpmBG-mutM rpmBp
rpmBG yicR-rpmBG-mutM rpmBp
rpoH rpoH rpoHp6
arcA arcA arcAp5
nmpC nmpC nmpCp
cydAB cydAB cydAp2
cutA cutA cutAp
cmk-rpsA cmk-rpsA-ihfB cmkp
ybgA-phr ybgA-phr ybgAp1
napFDAGHBC-ccmABCDEFGH napFDAGHBC-ccmABCDEFGH napFp2
phr ybgA-phr phrp
yiaJ yiaJ yiaJp
gadBC gadBC gadBp
gadAX gadAXW gadAp
paaABCDEFGHIJK paaABCDEFGHIJK paaAp
xapAB xapAB xapAp
tauABCD tauABCD tauAp
glpEGR glpEGR glpEp
glpGR glpEGR glpGp
glpR glpEGR glpRp1
glpR glpEGR glpRp2
modABC modABC modAp
blc blc blcp
cmr mdfA cmrp
hydN-hypF hydN-hypF hydNp
acpP-fabF yceD-rpmF-plsX-fabHDG-acpP-fabF acpPp
acpP yceD-rpmF-plsX-fabHDG-acpP-fabF acpPp
dadAX dadAX dadAp1
dadAX dadAX dadAp3
garPLRK-rnpB garPLRK-rnpB garPp
rnc-era rnc-era-recO-pdxJ-acpS rncp
rnc-era-recO-pdxJ-acpS rnc-era-recO-pdxJ-acpS rncp
pdxJ-acpS rnc-era-recO-pdxJ-acpS pdxJp
hupA hupA hupAp
hupB hupB hupBp1
hupB hupB hupBp2
hupB hupB hupBp3
hupB hupB hupBp4
xseA xseA xseAp
cfa cfa cfap1
cfa cfa cfap2
mazEFG relA-mazEFG mazEp1
mazEFG relA-mazEFG mazEp2
acrAB acrAB acrAp
poxB hcp-hcr-poxB-ltaE-ybjT poxBp
xthA xthA xthAp
rnpB garPLRK-rnpB rnpBp
adhE adhE adhEp2
nac nac nacp
phoPQ phoPQ phoPp1
pqiABC pqiABC pqiAp2
rpsA-ihfB cmk-rpsA-ihfB rpsAp1
phoPQ phoPQ phoPp2
xylAB xylAB xylAp
hlyE hlyE hlyEp
rnb rnb rnbp1
rnb rnb rnbp2
glnK-amtB glnK-amtB glnKp
xylR xylFGHR xylRp
yiaKLMNO-lyx-sgbHUE yiaKLMNO-lyxK-sgbHUE yiaKp
paaXY paaXY paaXp
xylFGHR xylFGHR xylFp
dcuA aspA-dcuA dcuAp
aroP aroP aroPp2
polA polA polAp
nikR nikABCDER nikRp
hyfABCDEFGHIJR-focB hyfABCDEFGHIJR-focB hyfAp
grxA grxA grxAp
mutS mutS mutSp
nikABCDER nikABCDER nikAp1
serC serC-aroA serCp
serC-aroA serC-aroA serCp
cedA cedA cedAp
zraP zraP zraPp
zraSR zraSR zraSp
hdeAB-yhiD hdeAB-yhiD hdeAp
rsd rsd rsdp1
rsd rsd rsdp2
pfkA pfkA pfkAp2
mlc mlc-ynfK mlcp1
mlc-ynfK mlc-ynfK mlcp2
cydDC cydDC cydDp
yjeFE-amiB-mutL-miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC yjeFp1
yjeFE-amiB-mutL-miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC yjeFp2
yjeFE-amiB-mutL-miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC yjeFp3
adiA adiA adiAp
adiY adiY adiYp
cpxPQ cpxPQ cpxPp
ldcC ldcC ldcCp
sfsA-dksA sfsA-dksA-gluQ sfsAp
znuA znuA znuAp
ynfEFGH-dmsD ynfEFGH-dmsD ynfEp
tisB tisB tisBp
aceBAK aceBAK aceBp
araC araC araCp
argCBH argCBH argCp
argF argF argFp
argI argI argIp
aroF-tyrA aroF-tyrA aroFp
aroG aroG aroGp
aroH aroH aroHp1
aroL-yaiA-aroM aroL-yaiA-aroM aroLp
aroP aroP aroPp1
bioA bioA bioAp
bioBFCD bioBFCD bioBp
fhuACDB fhuACDB fhuAp
glnLG glnALG glnLp
glpTQ glpTQ glpTQp
katG katG katGp
metF metF metFp
metH metH metHp
narGHJI narGHJI narGp
narK narK narKp1
nirBDC-cysG nirBDC-cysG nirBp
ompF ompF ompFp
oxyR oxyR oxyRp
phoA-psiF phoA-psiF phoAp
phoBR phoBR phoBp
purC purC purCp
purHD purHD purHp
purL purL purLp
purMN purMN purMp
purR purR purRp
pyrC pyrC pyrCp
pyrD pyrD pyrDp
recAX recAX recAp
recA recAX recAp
sodA sodA sodAp
ssb ssb ssbp3
trpR trpR trpRp
uvrA uvrA uvrAp
uvrB uvrB uvrBp2
ada-alkB ada-alkB adap
ansB ansB ansBp2
fadBA fadBA fadBp
phoE phoE phoEp
tyrB tyrB tyrBp
malT malT malTp
fabA fabA fabAp
mtr mtr mtrp2
fumA fumAC fumAp
fumAC fumAC fumAp
ebgAC ebgAC ebgAp
fucAO fucAO fucAp
gyrA gyrA gyrAp
dsdC dsdC dsdCp
fdhF fdhF fdhFp
lysA lysA lysAp
lysR lysR lysRp
malI malI malIp
metC metC metCp
glyA glyA glyAp
nadB nadB nadBp
pncB pncB pncBp
prs lolB-ispE-prs prsp
sdaA sdaA sdaAp
mreBCD mreBCD mreBp1
mreB mreBCD mreBp1
rplM-rpsI rplM-rpsI rplMp
rpsMKD-rpoA-rplQ rpsMKD-rpoA-rplQ rpsMp2
feaR feaR feaRp
galP galP galPp
bdm-sra bdm-sra bdmp
rirA-rfaQGPSBIJYZ-waaU rirA-waaQGPSBOJYZU rirAp
rfaQGPSBIJYZ-waaU rirA-waaQGPSBOJYZU waaQp
kdtA-coaD waaA-coaD waaAp1
waaA waaA-coaD waaAp1
waaA waaA-coaD waaAp2
istR-2 istR istR-2p
istR-1 istR istR-1p
hcaR hcaR hcaRp
hcaEFCBD hcaEFCBD hcaEp
prpR prpR prpRp
moaBCDE moaABCDE moaBp
cysG nirBDC-cysG cysGp1
yggN yggN yggNp2b
cysG nirBDC-cysG cysGp2
rpiA rpiA rpiAp
tktB talA-tktB tktBp
ves ves vesp
agp agp agpp
glk glk glkp
galU galU galUp
amyA amyA amyAp
bglX bglX bglXp
sthA sthA sthAp
evgAS evgAS evgAp2
evgAS evgAS evgAp1
polB polB polBp
allA allA allAp
allS allS allSp
yhhY yhhY yhhYp
nohA-ydfN-tfaQ nohAp
fhuF fhuF fhuFp
otsBA otsBA otsBp2
yrbL yrbL yrbLp
borD borD borDp
rstAB rstAB rstAp
slyB slyB slyBp1
slyB slyB slyBp2
nagA nagBAC-umpH nagAp
hemL hemL hemLp
pagP pagP pagPp
ybjG ybjG ybjGp
ompT envY-ompT ompTp
rpsT rpsT rpsTp1
rpsT rpsT rpsTp2
lsrACDBFG-tam lsrACDBFG-tam lsrAp
gatR_2 gatR gatR_2p
tpiA tpiA tpiAp1
pgk-fbaA epd-pgk-fbaA pgkp1
pgk epd-pgk-fbaA pgkp1
aspS aspS aspSp
talA-tktB talA-tktB talAp2
yiaG yiaG yiaGp
ytfK ytfK ytfKp
ansP ansP ansPp1
ansP ansP ansPp2
pheP pheP phePp
msyB msyB msyBp
artPIQM artPIQM artPp
artJ artJ artJp
pfkB pfkB pfkBp2
gloA nemRA-gloA gloAp
ybjP ybjP ybjPp
yggE yggE yggEp1
yggE yggE yggEp2
metE metE metEp
metR metR metRp1
metR metR metRp2
yebC-ruvC nudB-yebC-ruvC yebCp
ruvC nudB-yebC-ruvC ruvCp
nudB-yebC-ruvC nudB-yebC-ruvC nudBp
yebB yebB yebBp2
yebB yebB yebBp1
rimJ rimJ rimJp
dut-slmA dut-slmA dutp
lolB-ispE-prs lolB-ispE-prs lolBp
yehF yehF yehFp
gor gor gorp
mntH mntH mntHp
yacC-speED yacC-speED yacCp
rpsP-rimM-trmD-rplS rpsP-rimM-trmD-rplS rpsPp
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK gcl-hyi-glxR-ybbW-allB-ybbY-glxK gclp
allDC-ylbA allDCE allDp
rob rob robp
mdtABCD-baeSR mdtABCD-baeSR mdtAp
mglAC mglBAC mglAp
dhaR dhaR dhaRp
dhaKLM dhaKLM dhaKp
glnQ glnHPQ glnQp
acrD acrD acrDp
ydjM ydjM ydjMp
insK insK insKp
dinQ dinQ dinQp
recN recN recNp
cpxRA cpxRA cpxRp
tsr tsr tsrp1
narK narK narKp2
zinT zinT zinTp
acrR acrR acrRp
ldtB ldtB ldtBp
mltF mltF mltFp
fliE fliE fliEp
rtcR rtcR rtcRp
acrEF acrEF acrEp
dcuSR dcuSR dcuSp
bssS bssS bssSp1
bssS bssS bssSp2
ldhA ldhA ldhAp
ybbN cnoX ybbNp1
pcnB-folK pcnB-folK pcnBp1
pcnB-folK pcnB-folK pcnBp2
rssB rssAB rssBp
rssAB rssAB rssAp
cobUST cobUST cobUp1
cobUST cobUST cobUp2
bcsBZ bcsABZC bcsBp
yfeKS yfeKS yfeKp
yfgCD bepA-yfgD bepAp1
bamB-der bamB-der bamBp
qseBC qseBC qseBp2
recC ppdAB-ygdB-ppdC-recC recCp
infA infA-serW infAp2
infA infA-serW infAp1
bamD bamD bamDp2
dsbC-recJ-prfB xerD-dsbC-recJ-prfB-lysS dsbCp2
htrG-cca ygiM-cca ygiMp2
qseBC qseBC qseBp1
yraP yraP yraPp2
greA greA greAp2
lptB-rpoN-hpf-ptsN-yhbJ yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr lptBp
flgAMN flgAMN flgAp
flgBCDEFGHIJ flgBCDEFGHIJ flgBp
yecR yecR yecRp
yejO yejO yejOp
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE bamAp2
ybfHG ybfG ybfHp
lpp lpp lppp2
spy spy spyp
flhBAE flhBAE flhBp
fliFGHIJK fliFGHIJK fliFp
fliE fliE fliEp1
fliFGHIJK fliFGHIJK fliFp1
gltIJKL-sroC gltI-sroC-gltJKL gltIp1
malQ malPQ malQp
yhjJ yhjJ yhjJp
yieEF yieEp
plsB plsB plsBp
essD-ybcS-rzpD essD-rrrD-rzpD essDp
rutR rutR rutRp
narWV narZYWV narWp
ydhIJK ydhIJK ydhIp
lhr rnt-lhr lhrp
rnlB rnlAB rnlBp
gspAB gspAB gspAp4
yicJI yicJI yicJp
ahpF ahpCF ahpFp
ftnB ftnB ftnBp
ytfE ytfE ytfEp
ygbA ygbA ygbAp
tehAB tehAB tehAp
ybgIJKL-nei ybgI-pxpBCA-nei ybgIp1
ybgIJKL-nei ybgI-pxpBCA-nei ybgIp2
ydgK-rsxABCDGE-nth ydgK-rsxABCDGE-nth ydgKp
rsxABCDGE-nth ydgK-rsxABCDGE-nth rsxAp
ascFB ascFB ascFp
dnaTC-yjjA yjjB-dnaTC-yjjA dnaTp
dnaTC yjjB-dnaTC-yjjA dnaTp
feoABC feoABC feoAp
glyQS glyQS glyQp
hipBA hipBA hipBp
ribF-ileS-lspA-fkpB-ispH ribF-ileS-lspA-fkpB-ispH ribFp
rimP-nusA-infB metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp rimPp
yhdT-panF-prmA yhdT-panF-prmA yhdTp
thrS-infC thrS-infC-rpmI-rplT-pheMST-ihfA thrSp
thrS-infC-rpmI-rplT-pheMST-ihfA thrS-infC-rpmI-rplT-pheMST-ihfA thrSp
rplL rplKAJL-rpoBC rplLp
fbaB fbaB fbaBp
pgaABCD pgaABCD pgaAp
tppB dtpA tppBp
yciZT yciZT yciZp
cysS cysS cysSp
erpA erpA erpAp
nfuA yhgH-nfuA nfuAp1
ydiU ydiU ydiUp
napFDAGHBC napFDAGHBC-ccmABCDEFGH napFp3
nsrR-rnr-rlmB-yjfI nsrR-rnr-rlmB-yjfIJ nsrRp
argA argA argAp
appY appY appYp
pepT pepT pepTp
pitA pitA pitAp
dcuD dcuD dcuDp2
omrB omrB omrBp
omrA omrA omrAp
iraD ytiCD-idlP-iraD iraDp2
yqjI nfeR yqjIp
ysgA ysgA ysgAp
ychO ychO ychOp
dacC dacC dacCp
ompX yliM-ompX ompXp2
ompW ompW ompWp
micC micC micCp
trpS aroKB-damX-dam-rpe-gph-trpS trpSp
pdxH-tyrS-pdxY pdxH-tyrS-pdxY pdxHp
tyrS-pdxY pdxH-tyrS-pdxY tyrSp1
yjjB-dnaTC-yjjA yjjB-dnaTC-yjjA yjjBp
yjjB-dnaTC yjjB-dnaTC-yjjA yjjBp
adrA dgcC adrAp
allR allR allRp
pepD pepD pepDp3
aslB aslB aslBp
yciGFE yciGFE yciGp
yciG yciGFE yciGp
bolA bolA bolAp2
dicB-ydfDE-insD-intQ dicB-ydfDE-insD-7-intQ dicBp
lsp-fkpB-ispH ribF-ileS-lspA-fkpB-ispH lspAp
aroH aroH aroHp2
rpmI-rplT thrS-infC-rpmI-rplT-pheMST-ihfA rpmIp
norR norR norRp
rraA menA-rraA rraAp
relA-mazEF relA-mazEFG relAp2
rne rne rnep1
rne rne rnep2
rne rne rnep3
hemH hemHp
pitB pitB pitBp
smf smf smfp
def-fmt def-fmt defp
ppdAB-ygdB-ppdC-recC ppdAB-ygdB-ppdC-recC ppdAp
ygbK ygbJK ygbKp
modABC modABC modAp1
ynjH ynjH ynjHp
yecF yecF yecFp
yjcS yjcS yjcSp
fliDST fliDST fliDp1
yhiL yhiLp
tomB-hha tomBp1
yccA yccAp
ldtC ycfSp
efeU efeU_1p
yebE yebEp
dgcZ dgcZp
ftnB ftnB ftnBp2
yqjA-mzrA yqjA-mzrA yqjAp1
hslJ hslJp
yjbE yjbEFGH yjbEp1
yjbEFGH yjbEFGH yjbEp1
nlpA nlpA nlpAp
mtr mtr mtrp1
yrbG-kdsD yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr yrbGp
yrbG-kdsDC-lptCAB yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr yrbGp
kdsC-lptCAB yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr kdsCp1
lptAB yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr lptAp1
rseX rseX rseXp
gspCDEFGHIJKLMO gspCp3
gspCDEFGHIJKLMO gspCp2
gspCDEFGHIJKLMO gspCp1
gspAB gspAp3
gspAB gspAp1
gspAB gspAp2
fadE fadE fadEp
iraP iraPp1
dnaX dnaXp
relBE-hokD relBE-hokD relBp
ycaR-kdsB ycaRp
mreBCD mreBCD mreBp2
mreB mreBCD mreBp2
mreBCD mreBCD mreBp3
mreB mreBCD mreBp3
rydC rydC rydCp
mtn-btuF-yadS mtnp
dgt dgtp1
dgt dgt dgtp2
ileS-lspA-fkpB-ispH ribF-ileS-lspA-fkpB-ispH ileSp1
ileS-lspA-fkpB-ispH ribF-ileS-lspA-fkpB-ispH ileSp2
crp crp crpp3
crp crp crpp2
dapB dapB dapBp2
cyaA cyaA cyaAp1
cyaA cyaA cyaAp2
dapE-ypfN yffB-dapE-ypfN dapEp
yffB-dapE-ypfN yffB-dapE-ypfN yffBp
hypF hydN-hypF hypFp1
hypF hydN-hypF hypFp2
hypF hydN-hypF hypFp3
yahA pdeL pdeLp1
yahA pdeL pdeLp2
eno pyrG-eno enop1
eno pyrG-eno enop2
eno pyrG-eno enop3
hchA hchA hchAp
hchA hchA hchAp2
secE-nusG secE-nusG secEp
micA micA micAp
rybB rybB rybBp
yhjA ccp yhjAp
sgrST-setA sgrST-setA sgrSp
sgrR-sroA-thiBPQ sgrRp
alaC alaC alaCp
sraB sraB psrDp
rprA rprA rprAp
ryeA ryeA ryeAp
nepI nepI nepIp
ldrD ldrD ldrDp
rdlD rdlDp
apt aptp
hisJQMP argT-hisJQMP hisJp
sraG sraG sraGp
glmZ glmZ glmZp
ryjA ryjA ryjAp
symE symE symEp
symR symR symRp
ohsC ohsC ohsCp
shoB shoB shoBp
ryfD ryfD ryfDp
ryjB ryjB ryjBp
sroA sgrR-sroA-thiBPQ sroAp
chiX chiX chiXp
ryeB sdsR sdsRp
glmY glmY glmYp1
sroH sroH sroHp
rcnAB rcnAB rcnAp
rcnR rcnRp
yibD waaH yibDp1
nrdR-ribDE-nusB-thiL-pgpA nrdR-ribDE-nusB-thiL-pgpA nrdRp
sbcDC sbcDp
csgDEFG csgDEFG csgDp2
ychH ychH ychHp
dcuR dcuSR dcuRp
umpG-pcm umpG-pcm surEp2
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraWp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsLp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsLp2
ftsK ftsK ftsKp1
ftsK ftsK ftsKp2
arcZ arcZ arcZp
yeaR-yoaG yeaRp
sohA-yhaV prlF-yhaV sohAp
yggG loiP loiPp
hcp-hcr hcp-hcr-poxB-ltaE-ybjT hcpp2
wzbc wza-wzb-wzc-wcaAB wzap2
yiaKLMNO-lyx-sgbHUE yiaKLMNO-lyxK-sgbHUE yiaKp2
clpX-lon clpPX-lon clpXp
chaC chaBC chaCp
potFGHI potFGHI potFp2
rpoD rpsU-dnaG-rpoD rpoDp4
nagC nagBAC-umpH nagCp1
nagC nagBAC-umpH nagCp2
ileS-lspA-fkpB-ispH ribF-ileS-lspA-fkpB-ispH ileSp3
can can canp
ribE-nusB-thiL-pgpA nrdR-ribDE-nusB-thiL-pgpA ribEp
ydhQ ydhQ ydhQp
narP narP narPp
pncC pncCp
glnS glnS glnSp2
phoPQ phoPQ phoPp3
ygbF casABCDE12 ygbFp
yhdN-zntR yhdN-zntR yhdNp
prlC-yhiQ prlC-rsmJ prlCp
ybeD-lipB ybeD-lipB ybeDp
ybeZYX-lnt ybeZYX-lnt ybeZp
yceJI yceJI yceJp
lapAB lapAB-pyrF-yciH lapAp1
yciSM-pyrF-yciH lapAB-pyrF-yciH lapAp1
ycjXF-tyrR ycjXF-tyrR ycjXp
holC-valS holC-valS holCp
creABC creABCD creAp2
nfuA yhgH-nfuA nfuAp2
hslR-hslO yrfG-hslRO hslRp
rnlA rnlAB rnlAp
rrsA-ileT-alaT-rrlA-rrfA rrsA-ileT-alaT-rrlA-rrfA rrsAp2
rrsE-gltV-rrlE-rrfE rrsE-gltV-rrlE-rrfE rrsEp2
hepA rapA-rluA hepAp2
yafDE yafDE yafDp
xerD-dsbC-recJ xerD-dsbC-recJ-prfB-lysS xerDp
clpPX clpPX-lon clpPp3
rdgB-yggW yggSTU-rdgB-hemW rdgBp
dcd udk-dcd dcdp
trkA trkAp
yehS yehSp
mnmA mnmA mnmAp
yfcD yfcD yfcDp
elaB elaB elaBp
hda hda hdap
folX-yfcH folX-yfcH folXp
yggDC cmtBA-yggPF-fumE-yggC fumEp
tam lsrACDBFG-tam tamp
tsaB-yeaY tsaB-yeaY tsaBp
yfhL yfhL yfhLp
deoR deoR deoRp
dksA-yadB sfsA-dksA-gluQ dksAp1
yacG coaE-zapD-yacG yacGp
yhjG yhjG yhjGp
ydeQ ydeQ ydeQp
ydbD ydbD ydbDp
yfcE yfcE yfcEp
aspU aspU aspUp
pgsA pgsA pgsAp
pdxY pdxH-tyrS-pdxY pdxYp
yhfK yhfK yhfKp
insN-2 insO insNp
yegW yegW yegWp
pspE pspABCDE pspEp
yajO xseB-ispA-dxs-yajO yajOp
nrdG nrdDG nrdGp
fucR fucPIKUR fucRp
aceK aceBAK aceKp
yadC yadMLKC yadCp
glxK gcl-hyi-glxR-ybbW-allB-ybbY-glxK glxKp
gcvP gcvTHP gcvPp
rrfG rrsG-gltW-rrlG-rrfG rrfGp
cysH cysJIH cysHp
argQ serV-argVYZQ argQp
cadA cadBA cadAp
csgC csgBAC csgCp
tcyJ fliAZ-tcyJ tcyJp
ybjN ybjC-nfsA-rimK-ybjN ybjNp
dhaM dhaKLM dhaMp
tufA rpsLG-fusA-tufA tufAp1
ubiX cvpA-purF-ubiX ubiXp
yjfKLMC yjfKLMC yjfKp
yafNOP dinB-yafNOP yafNp
yjiXA yjiXA yjiXp
lacYA lacZYA lacYp
rfbACX rfbBDACX rfbAp
rrlH-rrfH rrsH-ileV-alaV-rrlH-rrfH rrlHp
rfaZ-waaU rirA-waaQGPSBOJYZU waaZp
selD-topB ydjA-selD-topB selDp1
rrlB-rrfB rrsB-gltT-rrlB-rrfB rrlBp
caiCDE caiTABCDE caiCp
rrlE-rrfE rrsE-gltV-rrlE-rrfE rrlEp
nuoMN nuoABCEFGHIJKLMN nuoMp
mreCD mreBCD mreCp
rrlA-rrfA rrsA-ileT-alaT-rrlA-rrfA rrlAp
ykfGH-yafW-ykfI yafY-ykfBF-yafX-ykfGH-yafW-ykfI ykfGp
glcBA glcDEFGBA glcBp
deoA deoCABD deoAp
menD-yfbB-menBCE menFDHBCE menDp
rutR rutR rutRp2
safA-ydeO safA-ydeO safAp
yaiA-aroM aroL-yaiA-aroM yaiAp
alsBACE alsRBACE alsBp
hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC hfqp2
tyrV-tpr tyrTV-tpr tyrVp
pspBCDE pspABCDE pspBp
tdcBCDEFG tdcABCDEFG tdcBp
phnLMNOP phnCDEFGHIJKLMNOP phnLp
yjiT yjiTp
glnW-metU-glnVX metT-leuW-glnUW-metU-glnVX glnWp
raiA raiAp
yafU yafU yafUp
yehR yehRp
ydeO safA-ydeO ydeOp
rpmE rpmE rpmEp
yiaA yiaAp
yccE yccEp
yrdA yrdA yrdAp
ydeP ydeP ydePp
yjhIHG yjhIp
yfjV ypjMp
yrfG-hslRO yrfGp
yibA rhsA-yibA yibAp
frc yfdX-frc-oxc-yfdVE frcp
yfdX yfdX-frc-oxc-yfdVE yfdXp
casDE-ygbTF casABCDE12 casDp
osmF-yehYXW osmF-yehYXW osmFp2
hspQ hspQp
mutL-miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC mutLp2
mutL-miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC mutLp1
miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC miaAp2
miaA-hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC miaAp1
hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC hfqp1
hfq-hflXKC nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC hfqp3
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC lpxCp1
ybhC ybhCp
ybjQ-amiD ybjQp
hcp-hcr-poxB-ltaE-ybjT ltaEp
ybjX ybjX ybjXp
trxB trxBp
serS serSp
ycbJ ycbJp
ldtD ldtDp
ycbK-gloC ycbKp
asnS asnSp
pepN pepN pepNp
matP matP matPp
mgsA mgsAp
wrbA-yccJ wrbAp
ymdAB-clsC clsCp
solA-yceO solAp
bssS bssSp
rne rnep4
rpmF-plsX-fabHDG yceD-rpmF-plsX-fabHDG-acpP-fabF rpmFp
iraM iraMp
bluR bluRp
ycgL ycgLp
fadR fadR fadRp2
ycgB ycgB ycgBp
ychJ ychJp
yciI yciIp
yciVOQ yciVp
ymiC-acnA acnAp3
fabI fabIp1
puuDRCBE puuDRCBE puuDp
ycjG ycjG ycjGp
ynaI ynaI ynaIp
uspE uspEp
zntB ydaNp
uspF uspFp
trg trgp1
ydcR ydcRp
yncE yncE yncEp
yncG yncGp
ydfG ydfGp
ydfH ydfHp
gnsB gnsBp
ynfB-speG ynfBp
tqsA tqsA tqsAp
ydgA ydgAp
hdhA hdhAp
gstA gstAp
pdxH-tyrS-pdxY tyrSp2
sodC sodCp
pykF pykFp1
pykF pykFp2
ydiP ydiP ydiPp
yniB yniB yniBp
hxpB yniCp
ynjE ynjEp
mipA mipAp
yeaGH yeaGp2
yeaL yeaL yeaLp
